Color name	Hex
VegasGold	#C5B358
VenetianRed	#C80815
Verdigris	#43B3AE
Vermilion	#E34234
Veronica	#A020F0
Violet	#EE82EE
Viridian	#40826D
VividAuburn	#922724
VividBurgundy	#9F1D35
VividCerise	#DA1D81
VividTangerine	#FFA089
VividViolet	#9F00FF
VogueGreen	#4B5645
WarmBlack	#004242
WarmGray	#BCBABE
Waterfall	#68829E
Waterspout	#00FFFF
Watery	#B4CCC9
Wave	#66A5AD
Wenge	#645452
Wheat	#F5DEB3
White	#FFFFFF
WholeWheat	#CDB592
WildBlueYonder	#A2ADD0
WildStrawberry	#FF43A4
WildWatermelon	#FC6C85
Wine	#722F37
Wisteria	#C9A0DC
Wood	#81715E
Xanadu	#738678
Yellow	#FFFF00
YellowPepper	#F5BE41
ZinnwalditeBrown	#2C1608
